periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
8/2018,Ngaliyan,"138.618,0","1,0","0,0"
9/2018,Ngaliyan,"138.618,0","0,0","0,0"
10/2018,Ngaliyan,"138.618,0","0,0","0,0"
11/2018,Ngaliyan,"138.618,0","0,0","0,0"
12/2018,Ngaliyan,"138.618,0","2,0","0,0"
1/2018,Pedurungan,"192.798,0","1,0","0,0"
2/2018,Pedurungan,"192.798,0","0,0","0,0"
3/2018,Pedurungan,"192.798,0","1,0","0,0"
4/2018,Pedurungan,"192.798,0","4,0","0,0"
5/2018,Pedurungan,"192.798,0","0,0","0,0"
6/2018,Pedurungan,"192.798,0","2,0","0,0"
7/2018,Pedurungan,"192.798,0","2,0","0,0"
8/2018,Pedurungan,"192.798,0","3,0","0,0"
9/2018,Pedurungan,"192.798,0","2,0","0,0"
10/2018,Pedurungan,"192.798,0","0,0","0,0"
11/2018,Pedurungan,"192.798,0","1,0","0,0"
12/2018,Pedurungan,"192.798,0","2,0","0,0"
1/2018,Semarang Barat,"159.018,0","0,0","0,0"
